section,category,description,date,metric,value
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-03-18,Counts,66
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-03-19,Counts,81
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-03-20,Counts,119
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-03-21,Counts,116
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-03-22,Counts,124
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-03-23,Counts,192
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-03-24,Counts,175
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-03-25,Counts,312
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-03-26,Counts,294
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-03-27,Counts,327
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-03-28,Counts,243
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-03-29,Counts,329
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-03-30,Counts,324
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-03-31,Counts,386
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-04-01,Counts,395
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-04-02,Counts,447
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-04-03,Counts,386
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-04-04,Counts,385
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-04-05,Counts,220
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-04-06,Counts,266
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-04-07,Counts,258
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-04-08,Counts,548
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-04-09,Counts,365
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-04-10,Counts,433
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-04-11,Counts,431
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-04-12,Counts,379
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-04-13,Counts,292
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-04-14,Counts,309
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-04-15,Counts,414
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-04-16,Counts,350
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-04-17,Counts,418
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-04-18,Counts,269
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-04-19,Counts,310
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-04-20,Counts,294
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-04-21,Counts,467
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-04-22,Counts,395
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-04-23,Counts,967
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-04-24,Counts,710
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-04-25,Counts,495
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-04-26,Counts,431
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-04-27,Counts,492
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-04-28,Counts,433
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-04-29,Counts,841
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-04-30,Counts,454
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-05-01,Counts,456
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-05-02,Counts,407
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-05-03,Counts,240
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-05-04,Counts,365
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-05-05,Counts,392
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-05-06,Counts,443
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-05-07,Counts,454
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-05-08,Counts,549
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-05-09,Counts,347
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-05-10,Counts,215
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-05-11,Counts,246
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-05-12,Counts,295
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-05-13,Counts,430
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-05-14,Counts,406
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-05-15,Counts,432
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-05-16,Counts,333
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-05-17,Counts,218
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-05-18,Counts,269
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-05-19,Counts,288
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-05-20,Counts,366
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-05-21,Counts,306
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-05-22,Counts,449
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-05-23,Counts,224
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-05-24,Counts,269
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-05-25,Counts,303
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-05-26,Counts,200
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-05-27,Counts,287
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-05-28,Counts,342
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-05-29,Counts,490
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-05-30,Counts,300
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-05-31,Counts,150
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-06-01,Counts,208
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-06-02,Counts,241
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-06-03,Counts,301
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-06-04,Counts,273
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-06-05,Counts,230
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-06-06,Counts,158
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-06-07,Counts,143
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-06-08,Counts,179
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-06-09,Counts,129
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-06-10,Counts,119
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-06-11,Counts,234
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-06-12,Counts,227
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-06-13,Counts,116
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-06-14,Counts,131
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-06-15,Counts,139
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-06-16,Counts,251
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-06-17,Counts,247
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-06-18,Counts,342
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-06-19,Counts,178
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-06-20,Counts,202
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-06-21,Counts,140
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-06-22,Counts,180
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-06-23,Counts,257
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-06-24,Counts,258
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-06-25,Counts,321
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-06-26,Counts,288
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-06-27,Counts,285
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-06-28,Counts,166
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-06-29,Counts,217
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-06-30,Counts,288
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-07-01,Counts,393
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-07-02,Counts,361
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-07-03,Counts,293
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-07-04,Counts,225
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-07-05,Counts,183
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-07-06,Counts,379
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-07-07,Counts,350
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-07-08,Counts,407
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-07-09,Counts,627
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-07-10,Counts,442
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-07-11,Counts,371
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-07-12,Counts,366
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-07-13,Counts,419
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-07-14,Counts,411
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-07-15,Counts,591
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-07-16,Counts,580
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-07-17,Counts,513
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-07-18,Counts,364
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-07-19,Counts,425
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-07-20,Counts,557
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-07-21,Counts,616
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-07-22,Counts,602
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-07-23,Counts,707
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-07-24,Counts,800
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-07-25,Counts,570
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-07-26,Counts,194
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-07-27,Counts,868
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-07-28,Counts,482
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-07-29,Counts,455
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-07-30,Counts,586
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-07-31,Counts,540
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-08-01,Counts,426
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-08-02,Counts,246
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-08-03,Counts,521
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-08-04,Counts,546
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-08-05,Counts,405
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-08-06,Counts,431
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-08-07,Counts,433
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-08-08,Counts,288
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-08-09,Counts,265
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-08-10,Counts,289
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-08-11,Counts,230
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-08-12,Counts,444
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-08-13,Counts,392
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-08-14,Counts,274
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-08-15,Counts,349
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-08-16,Counts,165
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-08-17,Counts,259
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-08-18,Counts,306
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-08-19,Counts,361
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-08-20,Counts,393
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-08-21,Counts,298
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-08-22,Counts,264
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-08-23,Counts,179
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-08-24,Counts,293
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-08-25,Counts,239
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-08-26,Counts,357
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-08-27,Counts,421
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-08-28,Counts,307
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-08-29,Counts,217
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-08-30,Counts,182
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-08-31,Counts,360
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-09-01,Counts,230
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-09-02,Counts,306
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-09-03,Counts,390
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-09-04,Counts,313
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-09-05,Counts,268
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-09-06,Counts,241
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-09-07,Counts,187
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-09-08,Counts,305
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-09-09,Counts,253
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-09-10,Counts,355
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-09-11,Counts,398
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-09-12,Counts,438
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-09-13,Counts,394
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-09-14,Counts,419
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-09-15,Counts,488
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-09-16,Counts,500
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-09-17,Counts,598
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-09-18,Counts,625
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-09-19,Counts,480
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-09-20,Counts,515
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-09-21,Counts,595
Case Summary,Cases,Cases of COVID-19 in Colorado by Date Reported to the State,2020-09-22,Counts,493
Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,2020-03-05,Cumulative,7
Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,2020-03-06,Cumulative,7
Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,2020-03-07,Cumulative,7
Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,2020-03-08,Cumulative,7
Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,2020-03-09,Cumulative,12
Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,2020-03-10,Cumulative,18
Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,2020-03-11,Cumulative,36
Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,2020-03-12,Cumulative,46
Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,2020-03-13,Cumulative,72
Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,2020-03-14,Cumulative,101
Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,2020-03-15,Cumulative,135
Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,2020-03-16,Cumulative,170
Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,2020-03-17,Cumulative,200
Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,2020-03-18,Cumulative,266
Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,2020-03-19,Cumulative,347
Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,2020-03-20,Cumulative,466
Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,2020-03-21,Cumulative,582
Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,2020-03-22,Cumulative,706
Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,2020-03-23,Cumulative,898
Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,2020-03-24,Cumulative,1073
Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,2020-03-25,Cumulative,1385
Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,2020-03-26,Cumulative,1679
Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,2020-03-27,Cumulative,2006
Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,2020-03-28,Cumulative,2249
Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,2020-03-29,Cumulative,2578
Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,2020-03-30,Cumulative,2902
Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,2020-03-31,Cumulative,3288
Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,2020-04-01,Cumulative,3683
Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,2020-04-02,Cumulative,4130
Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,2020-04-03,Cumulative,4516
Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,2020-04-04,Cumulative,4901
Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,2020-04-05,Cumulative,5121
Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,2020-04-06,Cumulative,5387
Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,2020-04-07,Cumulative,5645
Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,2020-04-08,Cumulative,6193
Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,2020-04-09,Cumulative,6558
Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,2020-04-10,Cumulative,6991
Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,2020-04-11,Cumulative,7422
Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,2020-04-12,Cumulative,7801
Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,2020-04-13,Cumulative,8093
Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,2020-04-14,Cumulative,8402
Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,2020-04-15,Cumulative,8816
Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,2020-04-16,Cumulative,9166
Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,2020-04-17,Cumulative,9584
Case Summary,Cases,Cumulative COVID-19 Cases in Colorado by Date Reported to the State,2020-04-18,Cumulative,9853
