Data as of,Start Date,End Date,State,Sex,Age group,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
02/10/2021,01/01/2020,02/06/2021,United States,Male,50-64 years,41479,360998,37178,21252,1206,58399,
02/10/2021,01/01/2020,02/06/2021,United States,Male,55-64 years,33118,285726,30082,17037,937,46936,
02/10/2021,01/01/2020,02/06/2021,United States,Male,65-74 years,58234,416226,53472,30846,1059,81727,
02/10/2021,01/01/2020,02/06/2021,United States,Male,75-84 years,69257,457512,62877,35835,964,97116,
02/10/2021,01/01/2020,02/06/2021,United States,Male,85 years and over,59536,422914,52405,27452,738,85126,
02/10/2021,01/01/2020,02/06/2021,United States,Female,All Ages,202202,1711309,172450,89699,4275,288776,
02/10/2021,01/01/2020,02/06/2021,United States,Female,Under 1 year,15,8648,87,2,11,111,
02/10/2021,01/01/2020,02/06/2021,United States,Female,0-17 years,80,14026,259,14,79,404,
02/10/2021,01/01/2020,02/06/2021,United States,Female,1-4 years,9,1496,65,1,21,94,
02/10/2021,01/01/2020,02/06/2021,United States,Female,5-14 years,30,2311,74,3,38,139,
02/10/2021,01/01/2020,02/06/2021,United States,Female,15-24 years,249,9594,307,97,43,501,
02/10/2021,01/01/2020,02/06/2021,United States,Female,18-29 years,574,17451,715,271,72,1087,
02/10/2021,01/01/2020,02/06/2021,United States,Female,25-34 years,1013,22407,1137,476,119,1787,
02/10/2021,01/01/2020,02/06/2021,United States,Female,30-49 years,5794,79915,5824,2751,377,9218,
02/10/2021,01/01/2020,02/06/2021,United States,Female,35-44 years,2518,37462,2576,1164,169,4090,
02/10/2021,01/01/2020,02/06/2021,United States,Female,45-54 years,6780,74494,6852,3380,321,10538,
02/10/2021,01/01/2020,02/06/2021,United States,Female,50-64 years,22833,223165,23464,11853,883,35230,
02/10/2021,01/01/2020,02/06/2021,United States,Female,55-64 years,18667,178145,19164,9766,689,28679,
02/10/2021,01/01/2020,02/06/2021,United States,Female,65-74 years,36727,299235,34846,18830,837,53482,
02/10/2021,01/01/2020,02/06/2021,United States,Female,75-84 years,54152,418337,47002,25521,955,76475,
02/10/2021,01/01/2020,02/06/2021,United States,Female,85 years and over,82042,659180,60340,30459,1072,112880,
02/10/2021,01/01/2020,02/06/2021,United States,Unknown,All Ages,10,109,8,6,0,12,
02/10/2021,01/01/2020,02/06/2021,United States,Unknown,Under 1 year,0,33,0,0,0,0,
02/10/2021,01/01/2020,02/06/2021,United States,Unknown,0-17 years,0,34,0,0,0,0,
02/10/2021,01/01/2020,02/06/2021,United States,Unknown,1-4 years,0,0,0,0,0,0,
02/10/2021,01/01/2020,02/06/2021,United States,Unknown,5-14 years,0,0,0,0,0,0,
02/10/2021,01/01/2020,02/06/2021,United States,Unknown,15-24 years,0,2,0,0,0,0,
02/10/2021,01/01/2020,02/06/2021,United States,Unknown,18-29 years,0,3,0,0,0,0,
02/10/2021,01/01/2020,02/06/2021,United States,Unknown,25-34 years,0,4,0,0,0,0,
02/10/2021,01/01/2020,02/06/2021,United States,Unknown,30-49 years,0,6,0,0,0,0,
02/10/2021,01/01/2020,02/06/2021,United States,Unknown,35-44 years,0,3,0,0,0,0,
02/10/2021,01/01/2020,02/06/2021,United States,Unknown,45-54 years,1,4,1,1,0,1,
02/10/2021,01/01/2020,02/06/2021,United States,Unknown,50-64 years,2,12,3,2,0,3,
02/10/2021,01/01/2020,02/06/2021,United States,Unknown,55-64 years,1,9,2,1,0,2,
02/10/2021,01/01/2020,02/06/2021,United States,Unknown,65-74 years,3,11,1,1,0,3,
02/10/2021,01/01/2020,02/06/2021,United States,Unknown,75-84 years,3,12,3,2,0,4,
02/10/2021,01/01/2020,02/06/2021,United States,Unknown,85 years and over,2,31,1,1,0,2,
02/10/2021,01/01/2020,02/06/2021,Alabama,All Sexes,All Ages,8333,68275,6006,2784,145,11685,
02/10/2021,01/01/2020,02/06/2021,Alabama,Male,All Ages,4455,35536,3274,1525,87,6283,
02/10/2021,01/01/2020,02/06/2021,Alabama,Male,Under 1 year,,231,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/10/2021,01/01/2020,02/06/2021,Alabama,Male,0-17 years,,432,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/10/2021,01/01/2020,02/06/2021,Alabama,Male,1-4 years,0,48,0,0,0,0,
02/10/2021,01/01/2020,02/06/2021,Alabama,Male,5-14 years,0,71,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/10/2021,01/01/2020,02/06/2021,Alabama,Male,15-24 years,,554,,0,,11,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/10/2021,01/01/2020,02/06/2021,Alabama,Male,18-29 years,19,906,14,,,31,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/10/2021,01/01/2020,02/06/2021,Alabama,Male,25-34 years,34,972,35,13,,58,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/10/2021,01/01/2020,02/06/2021,Alabama,Male,30-49 years,207,3003,173,68,,317,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/10/2021,01/01/2020,02/06/2021,Alabama,Male,35-44 years,93,1420,76,31,,141,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/10/2021,01/01/2020,02/06/2021,Alabama,Male,45-54 years,256,2575,181,81,,363,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/10/2021,01/01/2020,02/06/2021,Alabama,Male,50-64 years,821,7573,587,255,30,1182,
02/10/2021,01/01/2020,02/06/2021,Alabama,Male,55-64 years,660,6043,478,203,25,959,
02/10/2021,01/01/2020,02/06/2021,Alabama,Male,65-74 years,1240,8676,922,443,26,1743,
02/10/2021,01/01/2020,02/06/2021,Alabama,Male,75-84 years,1334,8812,955,464,13,1835,
02/10/2021,01/01/2020,02/06/2021,Alabama,Male,85 years and over,833,6134,619,290,,1168,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/10/2021,01/01/2020,02/06/2021,Alabama,Female,All Ages,3878,32739,2732,1259,58,5402,
02/10/2021,01/01/2020,02/06/2021,Alabama,Female,Under 1 year,,163,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/10/2021,01/01/2020,02/06/2021,Alabama,Female,0-17 years,,252,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/10/2021,01/01/2020,02/06/2021,Alabama,Female,1-4 years,0,36,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/10/2021,01/01/2020,02/06/2021,Alabama,Female,5-14 years,0,35,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/10/2021,01/01/2020,02/06/2021,Alabama,Female,15-24 years,,188,,0,0,13,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/10/2021,01/01/2020,02/06/2021,Alabama,Female,18-29 years,,320,14,,0,18,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/10/2021,01/01/2020,02/06/2021,Alabama,Female,25-34 years,18,428,22,,,33,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/10/2021,01/01/2020,02/06/2021,Alabama,Female,30-49 years,146,1766,106,41,,217,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/10/2021,01/01/2020,02/06/2021,Alabama,Female,35-44 years,65,828,46,16,,98,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/10/2021,01/01/2020,02/06/2021,Alabama,Female,45-54 years,199,1721,122,59,,269,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/10/2021,01/01/2020,02/06/2021,Alabama,Female,50-64 years,600,5069,463,188,18,892,
02/10/2021,01/01/2020,02/06/2021,Alabama,Female,55-64 years,466,4008,384,147,12,714,
02/10/2021,01/01/2020,02/06/2021,Alabama,Female,65-74 years,850,6371,610,290,16,1185,
02/10/2021,01/01/2020,02/06/2021,Alabama,Female,75-84 years,1103,8628,813,402,10,1523,
02/10/2021,01/01/2020,02/06/2021,Alabama,Female,85 years and over,1172,10333,720,335,,1560,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/10/2021,01/01/2020,02/06/2021,Alabama,Unknown,All Ages,0,0,0,0,0,0,
02/10/2021,01/01/2020,02/06/2021,Alabama,Unknown,Under 1 year,0,0,0,0,0,0,
02/10/2021,01/01/2020,02/06/2021,Alabama,Unknown,0-17 years,0,0,0,0,0,0,
02/10/2021,01/01/2020,02/06/2021,Alabama,Unknown,1-4 years,0,0,0,0,0,0,
02/10/2021,01/01/2020,02/06/2021,Alabama,Unknown,5-14 years,0,0,0,0,0,0,
02/10/2021,01/01/2020,02/06/2021,Alabama,Unknown,15-24 years,0,0,0,0,0,0,
02/10/2021,01/01/2020,02/06/2021,Alabama,Unknown,18-29 years,0,0,0,0,0,0,
02/10/2021,01/01/2020,02/06/2021,Alabama,Unknown,25-34 years,0,0,0,0,0,0,
02/10/2021,01/01/2020,02/06/2021,Alabama,Unknown,30-49 years,0,0,0,0,0,0,
02/10/2021,01/01/2020,02/06/2021,Alabama,Unknown,35-44 years,0,0,0,0,0,0,
02/10/2021,01/01/2020,02/06/2021,Alabama,Unknown,45-54 years,0,0,0,0,0,0,
02/10/2021,01/01/2020,02/06/2021,Alabama,Unknown,50-64 years,0,0,0,0,0,0,
02/10/2021,01/01/2020,02/06/2021,Alabama,Unknown,55-64 years,0,0,0,0,0,0,
02/10/2021,01/01/2020,02/06/2021,Alabama,Unknown,65-74 years,0,0,0,0,0,0,
02/10/2021,01/01/2020,02/06/2021,Alabama,Unknown,75-84 years,0,0,0,0,0,0,
02/10/2021,01/01/2020,02/06/2021,Alabama,Unknown,85 years and over,0,0,0,0,0,0,
02/10/2021,01/01/2020,02/06/2021,Alaska,All Sexes,All Ages,259,5071,314,143,,439,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/10/2021,01/01/2020,02/06/2021,Alaska,Male,All Ages,150,2926,175,77,,253,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/10/2021,01/01/2020,02/06/2021,Alaska,Male,Under 1 year,0,28,0,0,0,0,
02/10/2021,01/01/2020,02/06/2021,Alaska,Male,0-17 years,0,67,0,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/10/2021,01/01/2020,02/06/2021,Alaska,Male,1-4 years,0,,0,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/10/2021,01/01/2020,02/06/2021,Alaska,Male,5-14 years,0,22,0,0,0,0,
02/10/2021,01/01/2020,02/06/2021,Alaska,Male,15-24 years,0,91,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/10/2021,01/01/2020,02/06/2021,Alaska,Male,18-29 years,0,136,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/10/2021,01/01/2020,02/06/2021,Alaska,Male,25-34 years,0,133,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/10/2021,01/01/2020,02/06/2021,Alaska,Male,30-49 years,10,342,20,,0,25,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/10/2021,01/01/2020,02/06/2021,Alaska,Male,35-44 years,,175,12,,0,15,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/10/2021,01/01/2020,02/06/2021,Alaska,Male,45-54 years,,237,,,0,14,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/10/2021,01/01/2020,02/06/2021,Alaska,Male,50-64 years,21,673,29,,,42,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/10/2021,01/01/2020,02/06/2021,Alaska,Male,55-64 years,17,528,26,,,35,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/10/2021,01/01/2020,02/06/2021,Alaska,Male,65-74 years,43,649,40,22,0,61,
02/10/2021,01/01/2020,02/06/2021,Alaska,Male,75-84 years,48,652,50,26,,73,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/10/2021,01/01/2020,02/06/2021,Alaska,Male,85 years and over,28,407,35,15,,50,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/10/2021,01/01/2020,02/06/2021,Alaska,Female,All Ages,109,2145,139,66,,186,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/10/2021,01/01/2020,02/06/2021,Alaska,Female,Under 1 year,0,13,0,0,0,0,
02/10/2021,01/01/2020,02/06/2021,Alaska,Female,0-17 years,0,30,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/10/2021,01/01/2020,02/06/2021,Alaska,Female,1-4 years,0,,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/10/2021,01/01/2020,02/06/2021,Alaska,Female,5-14 years,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/10/2021,01/01/2020,02/06/2021,Alaska,Female,15-24 years,,36,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/10/2021,01/01/2020,02/06/2021,Alaska,Female,18-29 years,,63,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/10/2021,01/01/2020,02/06/2021,Alaska,Female,25-34 years,,86,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/10/2021,01/01/2020,02/06/2021,Alaska,Female,30-49 years,,231,,,0,10,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/10/2021,01/01/2020,02/06/2021,Alaska,Female,35-44 years,,103,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/10/2021,01/01/2020,02/06/2021,Alaska,Female,45-54 years,,150,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/10/2021,01/01/2020,02/06/2021,Alaska,Female,50-64 years,18,383,27,10,0,35,
02/10/2021,01/01/2020,02/06/2021,Alaska,Female,55-64 years,16,310,22,,0,29,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/10/2021,01/01/2020,02/06/2021,Alaska,Female,65-74 years,21,437,30,15,,38,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/10/2021,01/01/2020,02/06/2021,Alaska,Female,75-84 years,28,454,29,18,,40,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/10/2021,01/01/2020,02/06/2021,Alaska,Female,85 years and over,34,547,39,18,0,55,
02/10/2021,01/01/2020,02/06/2021,Alaska,Unknown,All Ages,0,0,0,0,0,0,
02/10/2021,01/01/2020,02/06/2021,Alaska,Unknown,Under 1 year,0,0,0,0,0,0,
02/10/2021,01/01/2020,02/06/2021,Alaska,Unknown,0-17 years,0,0,0,0,0,0,
02/10/2021,01/01/2020,02/06/2021,Alaska,Unknown,1-4 years,0,0,0,0,0,0,
02/10/2021,01/01/2020,02/06/2021,Alaska,Unknown,5-14 years,0,0,0,0,0,0,
02/10/2021,01/01/2020,02/06/2021,Alaska,Unknown,15-24 years,0,0,0,0,0,0,
02/10/2021,01/01/2020,02/06/2021,Alaska,Unknown,18-29 years,0,0,0,0,0,0,
02/10/2021,01/01/2020,02/06/2021,Alaska,Unknown,25-34 years,0,0,0,0,0,0,
02/10/2021,01/01/2020,02/06/2021,Alaska,Unknown,30-49 years,0,0,0,0,0,0,
02/10/2021,01/01/2020,02/06/2021,Alaska,Unknown,35-44 years,0,0,0,0,0,0,
02/10/2021,01/01/2020,02/06/2021,Alaska,Unknown,45-54 years,0,0,0,0,0,0,
02/10/2021,01/01/2020,02/06/2021,Alaska,Unknown,50-64 years,0,0,0,0,0,0,
02/10/2021,01/01/2020,02/06/2021,Alaska,Unknown,55-64 years,0,0,0,0,0,0,
02/10/2021,01/01/2020,02/06/2021,Alaska,Unknown,65-74 years,0,0,0,0,0,0,
02/10/2021,01/01/2020,02/06/2021,Alaska,Unknown,75-84 years,0,0,0,0,0,0,
02/10/2021,01/01/2020,02/06/2021,Alaska,Unknown,85 years and over,0,0,0,0,0,0,
02/10/2021,01/01/2020,02/06/2021,Arizona,All Sexes,All Ages,12419,84910,11286,7316,151,16537,
02/10/2021,01/01/2020,02/06/2021,Arizona,Male,All Ages,7312,46784,6613,4407,82,9598,
02/10/2021,01/01/2020,02/06/2021,Arizona,Male,Under 1 year,0,228,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/10/2021,01/01/2020,02/06/2021,Arizona,Male,0-17 years,,513,,,,18,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/10/2021,01/01/2020,02/06/2021,Arizona,Male,1-4 years,,60,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/10/2021,01/01/2020,02/06/2021,Arizona,Male,5-14 years,,81,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/10/2021,01/01/2020,02/06/2021,Arizona,Male,15-24 years,24,897,21,10,,37,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/10/2021,01/01/2020,02/06/2021,Arizona,Male,18-29 years,53,1499,50,30,,75,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/10/2021,01/01/2020,02/06/2021,Arizona,Male,25-34 years,92,1631,76,52,,118,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/10/2021,01/01/2020,02/06/2021,Arizona,Male,30-49 years,471,4125,355,261,,572,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/10/2021,01/01/2020,02/06/2021,Arizona,Male,35-44 years,214,1959,159,114,,263,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/10/2021,01/01/2020,02/06/2021,Arizona,Male,45-54 years,518,3098,414,310,,630,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/10/2021,01/01/2020,02/06/2021,Arizona,Male,50-64 years,1434,8561,1263,871,22,1848,
02/10/2021,01/01/2020,02/06/2021,Arizona,Male,55-64 years,1113,6744,1001,676,15,1453,
02/10/2021,01/01/2020,02/06/2021,Arizona,Male,65-74 years,1751,10251,1629,1107,19,2292,
02/10/2021,01/01/2020,02/06/2021,Arizona,Male,75-84 years,2158,11992,1979,1319,15,2832,
02/10/2021,01/01/2020,02/06/2021,Arizona,Male,85 years and over,1438,9843,1328,817,12,1961,
02/10/2021,01/01/2020,02/06/2021,Arizona,Female,All Ages,5107,38126,4673,2909,69,6939,
02/10/2021,01/01/2020,02/06/2021,Arizona,Female,Under 1 year,0,187,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/10/2021,01/01/2020,02/06/2021,Arizona,Female,0-17 years,,354,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/10/2021,01/01/2020,02/06/2021,Arizona,Female,1-4 years,0,48,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/10/2021,01/01/2020,02/06/2021,Arizona,Female,5-14 years,,70,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/10/2021,01/01/2020,02/06/2021,Arizona,Female,15-24 years,,269,11,,0,14,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/10/2021,01/01/2020,02/06/2021,Arizona,Female,18-29 years,32,490,24,15,0,41,
02/10/2021,01/01/2020,02/06/2021,Arizona,Female,25-34 years,55,639,47,28,,76,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/10/2021,01/01/2020,02/06/2021,Arizona,Female,30-49 years,267,2021,221,151,,346,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/10/2021,01/01/2020,02/06/2021,Arizona,Female,35-44 years,118,936,82,56,,147,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/10/2021,01/01/2020,02/06/2021,Arizona,Female,45-54 years,256,1759,243,166,,340,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/10/2021,01/01/2020,02/06/2021,Arizona,Female,50-64 years,787,5122,744,480,15,1065,
02/10/2021,01/01/2020,02/06/2021,Arizona,Female,55-64 years,648,4079,607,390,11,876,
02/10/2021,01/01/2020,02/06/2021,Arizona,Female,65-74 years,1117,7139,1087,699,19,1524,
02/10/2021,01/01/2020,02/06/2021,Arizona,Female,75-84 years,1428,9922,1320,833,15,1930,
02/10/2021,01/01/2020,02/06/2021,Arizona,Female,85 years and over,1474,13078,1270,729,10,2025,
02/10/2021,01/01/2020,02/06/2021,Arizona,Unknown,All Ages,0,0,0,0,0,0,
02/10/2021,01/01/2020,02/06/2021,Arizona,Unknown,Under 1 year,0,0,0,0,0,0,
02/10/2021,01/01/2020,02/06/2021,Arizona,Unknown,0-17 years,0,0,0,0,0,0,
02/10/2021,01/01/2020,02/06/2021,Arizona,Unknown,1-4 years,0,0,0,0,0,0,
02/10/2021,01/01/2020,02/06/2021,Arizona,Unknown,5-14 years,0,0,0,0,0,0,
02/10/2021,01/01/2020,02/06/2021,Arizona,Unknown,15-24 years,0,0,0,0,0,0,
02/10/2021,01/01/2020,02/06/2021,Arizona,Unknown,18-29 years,0,0,0,0,0,0,
02/10/2021,01/01/2020,02/06/2021,Arizona,Unknown,25-34 years,0,0,0,0,0,0,
02/10/2021,01/01/2020,02/06/2021,Arizona,Unknown,30-49 years,0,0,0,0,0,0,
02/10/2021,01/01/2020,02/06/2021,Arizona,Unknown,35-44 years,0,0,0,0,0,0,
02/10/2021,01/01/2020,02/06/2021,Arizona,Unknown,45-54 years,0,0,0,0,0,0,
02/10/2021,01/01/2020,02/06/2021,Arizona,Unknown,50-64 years,0,0,0,0,0,0,
02/10/2021,01/01/2020,02/06/2021,Arizona,Unknown,55-64 years,0,0,0,0,0,0,
02/10/2021,01/01/2020,02/06/2021,Arizona,Unknown,65-74 years,0,0,0,0,0,0,
02/10/2021,01/01/2020,02/06/2021,Arizona,Unknown,75-84 years,0,0,0,0,0,0,
02/10/2021,01/01/2020,02/06/2021,Arizona,Unknown,85 years and over,0,0,0,0,0,0,
02/10/2021,01/01/2020,02/06/2021,Arkansas,All Sexes,All Ages,4942,41064,4514,2281,105,7272,
02/10/2021,01/01/2020,02/06/2021,Arkansas,Male,All Ages,2523,21352,2405,1249,52,3729,
02/10/2021,01/01/2020,02/06/2021,Arkansas,Male,Under 1 year,0,142,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/10/2021,01/01/2020,02/06/2021,Arkansas,Male,0-17 years,0,269,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/10/2021,01/01/2020,02/06/2021,Arkansas,Male,1-4 years,0,27,0,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/10/2021,01/01/2020,02/06/2021,Arkansas,Male,5-14 years,0,39,0,0,0,0,
02/10/2021,01/01/2020,02/06/2021,Arkansas,Male,15-24 years,,320,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/10/2021,01/01/2020,02/06/2021,Arkansas,Male,18-29 years,,490,13,,,20,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/10/2021,01/01/2020,02/06/2021,Arkansas,Male,25-34 years,17,534,18,,,32,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
02/10/2021,01/01/2020,02/06/2021,Arkansas,Male,30-49 years,100,1715,101,39,,168,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
